Animal ID,Name,DateTime,MonthYear,Date of Birth,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Outcome
A806574,Leia,10/16/2019 04:10:00 PM,10/16/2019 04:10:00 PM,05/12/2019,Dog,Spayed Female,5 months,Labrador Retriever Mix,Brown/White,0
A740271,*Abby,02/20/2017 11:51:00 AM,02/20/2017 11:51:00 AM,12/14/2015,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black,0
A795317,*Colby,06/22/2019 01:55:00 PM,06/22/2019 01:55:00 PM,04/19/2019,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White,0
A778777,,08/24/2018 02:37:00 PM,08/24/2018 02:37:00 PM,08/20/2017,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,0
A677523,Candy,12/26/2015 07:58:00 PM,12/26/2015 07:58:00 PM,04/26/2013,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown,0
A818352,Ash,06/11/2020 05:37:00 PM,06/11/2020 05:37:00 PM,06/06/2018,Dog,Neutered Male,2 years,Chihuahua Shorthair,Black/Brown,0
A760258,,10/19/2017 05:58:00 PM,10/19/2017 05:58:00 PM,10/15/2015,Dog,Spayed Female,2 years,Miniature Poodle Mix,White/White,0
A737711,Honey,04/28/2017 05:57:00 PM,04/28/2017 05:57:00 PM,08/24/2016,Dog,Spayed Female,8 months,German Shepherd/Siberian Husky,Brown,0
A695208,Sputnik,01/12/2015 06:26:00 PM,01/12/2015 06:26:00 PM,01/11/2010,Dog,Intact Female,5 years,Beagle Mix,Tricolor,0
A677902,Jasper,05/02/2014 05:26:00 PM,05/02/2014 05:26:00 PM,09/30/2013,Dog,Neutered Male,7 months,Boxer/Pointer,Tan/White,0
A730144,Winston,05/05/2018 01:03:00 PM,05/05/2018 01:03:00 PM,06/29/2013,Dog,Neutered Male,4 years,Pit Bull Mix,Brown Brindle,0
A785369,Indy,12/03/2018 01:00:00 PM,12/03/2018 01:00:00 PM,12/01/2016,Dog,Neutered Male,2 years,Alaskan Husky Mix,Black/White,0
A776223,Faith,08/07/2018 05:00:00 PM,08/07/2018 05:00:00 PM,07/10/2014,Dog,Spayed Female,4 years,Rottweiler Mix,Black/Brown,0
A748122,,05/07/2017 04:03:00 PM,05/07/2017 04:03:00 PM,04/07/2017,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Brown Tabby,0
A807927,*Downy,11/12/2019 03:23:00 PM,11/12/2019 03:23:00 PM,11/01/2017,Dog,Intact Female,2 years,Siberian Husky/Labrador Retriever,White,0
A756606,Spike,08/26/2017 04:53:00 PM,08/26/2017 04:53:00 PM,08/23/2012,Dog,Neutered Male,5 years,Pomeranian,Brown/Black,0
A789236,,02/23/2019 06:04:00 PM,02/23/2019 06:04:00 PM,10/18/2018,Dog,Neutered Male,4 months,German Shepherd Mix,Fawn,0
A783359,Gracie,11/14/2018 12:23:00 PM,11/14/2018 12:23:00 PM,12/23/2016,Dog,Intact Female,1 year,Chihuahua Shorthair Mix,Black/Brown,0
A742887,Clyde,02/03/2017 06:23:00 PM,02/03/2017 06:23:00 PM,01/30/2016,Dog,Neutered Male,1 year,Cairn Terrier Mix,Black/Tan,0
A747961,Muirdoch,05/07/2017 05:09:00 PM,05/07/2017 05:09:00 PM,04/27/2015,Dog,Neutered Male,2 years,Pit Bull Mix,Fawn/White,0
A752496,,06/27/2017 04:34:00 PM,06/27/2017 04:34:00 PM,06/23/2006,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Blue Tabby,0
A749449,,05/19/2017 06:33:00 PM,05/19/2017 06:33:00 PM,03/15/2017,Dog,Intact Female,2 months,Labrador Retriever Mix,Brown Brindle/White,0
A809608,Leo,12/01/2019 11:15:00 AM,12/01/2019 11:15:00 AM,10/01/2018,Dog,Intact Male,1 year,German Shepherd Mix,Sable,0
A668477,,12/04/2013 02:38:00 PM,12/04/2013 02:38:00 PM,11/12/2013,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby/White,0
A748472,,05/10/2017 12:00:00 AM,05/10/2017 12:00:00 AM,10/03/2016,Cat,Neutered Male,7 months,Domestic Shorthair Mix,White/Black,0
A713287,*Toulouse,10/11/2015 04:48:00 PM,10/11/2015 04:48:00 PM,07/21/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A724638,,04/23/2016 11:44:00 AM,04/23/2016 11:44:00 AM,04/19/2012,Dog,Intact Male,4 years,Pit Bull Mix,Brown/White,0
A732414,*Alf,08/14/2016 12:58:00 PM,08/14/2016 12:58:00 PM,08/20/2010,Dog,Intact Male,5 years,German Shepherd Mix,Red/Black,0
A785776,Luna,12/15/2018 06:30:00 PM,12/15/2018 06:30:00 PM,02/14/2016,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White,0
A738604,Lizzy,04/26/2017 03:12:00 PM,04/26/2017 03:12:00 PM,11/18/2015,Dog,Spayed Female,1 year,Rat Terrier Mix,Tricolor/Black,0
A691461,Cali,12/07/2014 04:15:00 PM,12/07/2014 04:15:00 PM,11/04/2012,Dog,Spayed Female,2 years,Pit Bull Mix,Brown Brindle,0
A658388,Max,01/09/2016 01:42:00 PM,01/09/2016 01:42:00 PM,05/03/2013,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White,0
A747713,*Nick,04/25/2017 03:33:00 PM,04/25/2017 03:33:00 PM,03/23/2017,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Black,0
A841577,*Sparky,09/10/2021 04:44:00 PM,09/10/2021 04:44:00 PM,08/30/2019,Dog,Neutered Male,2 years,Chihuahua Shorthair,Tan,0
A724319,,04/19/2016 07:45:00 PM,04/19/2016 07:45:00 PM,06/15/2015,Dog,Neutered Male,10 months,Beagle Mix,Buff/White,0
A714276,Trina,10/30/2015 12:34:00 PM,10/30/2015 12:34:00 PM,06/20/2013,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White,0
A700014,,04/07/2015 09:00:00 AM,04/07/2015 09:00:00 AM,08/06/2014,Cat,Intact Female,8 months,Domestic Shorthair Mix,Brown Tabby,0
A777960,*Cat Benatar,08/22/2018 12:18:00 PM,08/22/2018 12:18:00 PM,05/22/2018,Cat,Intact Female,3 months,Domestic Shorthair Mix,Brown Tabby,0
A679629,Night Fury,06/11/2014 04:15:00 PM,06/11/2014 04:15:00 PM,05/24/2013,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black,0
A832920,*Mulder,06/30/2021 05:29:00 PM,06/30/2021 05:29:00 PM,03/21/2021,Cat,Neutered Male,3 months,Domestic Shorthair,Cream Tabby,0
A752151,*Wilma,07/10/2017 12:00:00 AM,07/10/2017 12:00:00 AM,04/26/2017,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue,0
A677038,*Penny,04/26/2014 01:00:00 PM,04/26/2014 01:00:00 PM,04/22/2012,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Buff,0
A800413,*Puppy,08/17/2019 07:13:00 PM,08/17/2019 07:13:00 PM,05/01/2019,Cat,Spayed Female,3 months,Abyssinian,Brown Tabby,0
A705003,*Maddie,06/20/2015 04:54:00 PM,06/20/2015 04:54:00 PM,06/11/2011,Dog,Spayed Female,4 years,Chihuahua Shorthair/Dachshund,Brown,0
A783558,,01/04/2019 05:50:00 PM,01/04/2019 05:50:00 PM,09/08/2018,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Black/White,0
A683901,*Golio,09/07/2014 04:27:00 PM,09/07/2014 04:27:00 PM,07/17/2004,Dog,Neutered Male,10 years,Labrador Retriever/Shiba Inu,Brown,0
A804882,*Butters,01/05/2020 05:35:00 PM,01/05/2020 05:35:00 PM,09/20/2017,Dog,Neutered Male,2 years,Labrador Retriever,Yellow/White,0
A667721,*Lilah,11/26/2013 07:57:00 AM,11/26/2013 07:57:00 AM,09/21/2013,Dog,Intact Female,2 months,Catahoula Mix,Blue Merle/White,0
A776151,,07/09/2018 03:40:00 PM,07/09/2018 03:40:00 PM,07/06/2018,Cat,Unknown,3 days,Domestic Shorthair Mix,White,0
A732537,Gunner,08/13/2016 03:24:00 PM,08/13/2016 03:24:00 PM,08/09/2015,Dog,Intact Male,1 year,Miniature Pinscher Mix,Black/Tan,0
A794029,Isla,09/03/2019 06:57:00 AM,09/03/2019 06:57:00 AM,05/03/2018,Dog,Spayed Female,1 year,Australian Kelpie Mix,Black/White,0
A713241,*Henny,11/15/2015 06:47:00 PM,11/15/2015 06:47:00 PM,09/04/2015,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie,0
A808934,,08/21/2020 01:25:00 PM,08/21/2020 01:25:00 PM,08/16/2019,Livestock,Unknown,1 year,Pig,Pink,0
A695482,Precious,08/27/2018 02:56:00 PM,08/27/2018 02:56:00 PM,10/16/2014,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Tricolor,0
A770612,,04/26/2018 07:08:00 PM,04/26/2018 07:08:00 PM,04/22/2017,Bird,Unknown,1 year,Cockatiel Mix,Gray/Yellow,0
A766931,Hestia,02/24/2018 03:04:00 PM,02/24/2018 03:04:00 PM,12/09/2017,Cat,Intact Female,2 months,Domestic Shorthair Mix,Gray Tabby/Black,0
A772173,,10/24/2018 06:46:00 PM,10/24/2018 06:46:00 PM,05/15/2016,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie,0
A814920,Mia,03/13/2020 11:25:00 AM,03/13/2020 11:25:00 AM,11/08/2019,Cat,Spayed Female,4 months,Domestic Shorthair,Brown Tabby/White,0
A753455,Sonny,02/03/2019 12:14:00 PM,02/03/2019 12:14:00 PM,07/06/2016,Dog,Neutered Male,2 years,Australian Shepherd,White,0
A807908,Sky,01/08/2020 02:38:00 PM,01/08/2020 02:38:00 PM,01/14/2019,Dog,Spayed Female,11 months,Border Collie Mix,Black/White,0
A735057,,09/18/2016 09:00:00 AM,09/18/2016 09:00:00 AM,09/17/2015,Cat,Intact Male,1 year,Domestic Shorthair Mix,Black/White,0
A615725,Cookie,05/15/2014 03:00:00 PM,05/15/2014 03:00:00 PM,12/11/2010,Dog,Spayed Female,3 years,Pit Bull Mix,White,0
A739255,Marley,12/26/2016 03:10:00 PM,12/26/2016 03:10:00 PM,11/29/2015,Dog,Neutered Male,1 year,German Shepherd Mix,Brown,0
A695922,Lulu,08/19/2016 12:40:00 PM,08/19/2016 12:40:00 PM,01/25/2010,Dog,Spayed Female,6 years,Beagle/Basset Hound,Tricolor,0
A738163,*Bobby,11/18/2016 10:25:00 PM,11/18/2016 10:25:00 PM,11/06/2014,Dog,Neutered Male,2 years,Beagle Mix,Cream/White,0
A760161,Chloe,12/03/2017 04:59:00 PM,12/03/2017 04:59:00 PM,10/13/2014,Dog,Spayed Female,3 years,Labrador Retriever Mix,Black/White,0
A753901,Austin,07/16/2017 05:38:00 PM,07/16/2017 05:38:00 PM,07/12/2015,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Tan,0
A692062,,11/25/2014 06:35:00 PM,11/25/2014 06:35:00 PM,01/13/2014,Cat,Intact Female,10 months,Domestic Longhair Mix,Tortie,0
A769360,*Toby,04/18/2018 02:14:00 PM,04/18/2018 02:14:00 PM,04/04/2014,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White,0
A789407,*Dunkin,03/03/2019 03:54:00 PM,03/03/2019 03:54:00 PM,04/21/2018,Dog,Neutered Male,10 months,Labrador Retriever Mix,Red/White,0
A808630,Storm,11/14/2019 06:28:00 PM,11/14/2019 06:28:00 PM,11/11/2017,Dog,Intact Female,2 years,Cairn Terrier,Tan,0
A684187,,08/08/2014 01:33:00 PM,08/08/2014 01:33:00 PM,05/24/2014,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,0
A745047,,03/12/2017 07:54:00 AM,03/12/2017 07:54:00 AM,03/12/2016,Other,Unknown,1 year,Bat Mix,Brown,1
A714312,,10/23/2015 06:24:00 PM,10/23/2015 06:24:00 PM,10/21/2013,Other,Unknown,2 years,Rabbit Sh Mix,Black/White,0
A835422,*Dock,08/24/2021 06:31:00 PM,08/24/2021 06:31:00 PM,04/20/2021,Cat,Neutered Male,4 months,Domestic Shorthair,Brown Tabby,0
A750365,Blindy,05/27/2017 12:01:00 PM,05/27/2017 12:01:00 PM,05/27/2007,Dog,Intact Male,10 years,German Shepherd Mix,Tricolor,0
A704782,*Frogger,07/30/2015 11:03:00 AM,07/30/2015 11:03:00 AM,05/02/2015,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby,0
A671939,Twitch,02/08/2014 01:48:00 PM,02/08/2014 01:48:00 PM,02/01/2012,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Brown Tabby,0
A716855,Faux,12/30/2015 06:27:00 PM,12/30/2015 06:27:00 PM,11/27/2004,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie,0
A741787,,01/12/2017 06:20:00 PM,01/12/2017 06:20:00 PM,11/18/2016,Dog,Neutered Male,1 month,Labrador Retriever Mix,Black/White,0
A804175,,09/14/2019 01:45:00 PM,09/14/2019 01:45:00 PM,09/11/2017,Bird,Unknown,2 years,Peafowl,Brown,0
A732555,*Midnight,01/12/2017 12:00:00 AM,01/12/2017 12:00:00 AM,07/25/2016,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,0
A694897,,01/08/2015 12:38:00 PM,01/08/2015 12:38:00 PM,12/22/2014,Dog,Intact Female,2 weeks,Pit Bull Mix,Black/White,0
A783861,Tulip,11/29/2018 07:22:00 PM,11/29/2018 07:22:00 PM,09/22/2018,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby,0
A781566,,10/04/2018 06:30:00 PM,10/04/2018 06:30:00 PM,01/01/2018,Cat,Intact Male,9 months,Domestic Shorthair Mix,Brown Tabby/White,0
A794332,Maverick,05/07/2019 03:58:00 PM,05/07/2019 03:58:00 PM,05/06/2018,Dog,Neutered Male,1 year,Australian Cattle Dog Mix,White/Blue Merle,0
A704076,*Destiny,06/13/2015 02:22:00 PM,06/13/2015 02:22:00 PM,06/07/2006,Dog,Spayed Female,9 years,Labrador Retriever Mix,Brown,0
A696536,*Lilac,02/15/2015 11:42:00 AM,02/15/2015 11:42:00 AM,02/06/2011,Dog,Intact Female,4 years,Pit Bull Mix,White,0
A732636,Nova,10/25/2018 05:43:00 PM,10/25/2018 05:43:00 PM,08/11/2015,Dog,Spayed Female,3 years,Pit Bull Mix,Fawn/White,0
A765207,Brodie,05/29/2019 03:34:00 PM,05/29/2019 03:34:00 PM,01/16/2015,Dog,Neutered Male,4 years,Pit Bull Mix,Brown/White,0
A708000,,07/22/2015 09:00:00 AM,07/22/2015 09:00:00 AM,07/21/2014,Cat,Unknown,1 year,Domestic Shorthair Mix,Black/White,0
A805445,*Nola,10/06/2019 05:15:00 PM,10/06/2019 05:15:00 PM,04/27/2019,Dog,Spayed Female,5 months,German Shorthair Pointer Mix,White/Brown,0
A778687,,08/19/2018 10:56:00 AM,08/19/2018 10:56:00 AM,08/12/2018,Cat,Intact Male,1 week,Domestic Shorthair Mix,Blue/White,0
A727481,*Sophie,06/03/2016 12:19:00 PM,06/03/2016 12:19:00 PM,05/22/2015,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White,0
A756034,Cujo,08/17/2017 12:00:00 AM,08/17/2017 12:00:00 AM,03/13/2017,Dog,Intact Male,5 months,Pit Bull Mix,Black/White,0
A667970,Tucker,11/30/2013 05:17:00 PM,11/30/2013 05:17:00 PM,06/11/2013,Dog,Neutered Male,5 months,Labrador Retriever/German Shepherd,Tan/Black,0
A800051,186 G *Green Mark,07/15/2019 06:52:00 PM,07/15/2019 06:52:00 PM,07/08/2019,Cat,Intact Male,1 week,Domestic Shorthair,Black/White,0
A681696,Bo Bo,06/19/2014 02:19:00 PM,06/19/2014 02:19:00 PM,06/19/2013,Dog,Intact Male,1 year,Labrador Retriever Mix,Sable/White,0
A830494,282G Yellow,03/10/2021 03:25:00 PM,03/10/2021 03:25:00 PM,02/23/2021,Cat,Intact Female,2 weeks,Domestic Shorthair,Brown Tabby,0
A783328,,10/29/2018 12:49:00 PM,10/29/2018 12:49:00 PM,03/01/2018,Cat,Intact Female,7 months,Domestic Shorthair Mix,Calico,0
A760227,Harvey,10/15/2017 01:12:00 PM,10/15/2017 01:12:00 PM,07/31/2017,Dog,Neutered Male,2 months,Labrador Retriever Mix,Tan/White,0
A730766,Philo,07/13/2016 05:46:00 PM,07/13/2016 05:46:00 PM,04/10/2016,Dog,Neutered Male,3 months,German Shepherd Mix,Red/Black,0
A734166,Max,12/02/2016 12:04:00 PM,12/02/2016 12:04:00 PM,03/02/2016,Dog,Neutered Male,9 months,Miniature Poodle Mix,Tan/Black,0
A804095,Skeeter,09/13/2019 01:57:00 PM,09/13/2019 01:57:00 PM,09/10/2010,Cat,Neutered Male,9 years,Domestic Shorthair,Blue Tabby/White,0
A785207,*Chuck,12/14/2018 02:45:00 PM,12/14/2018 02:45:00 PM,11/28/2017,Dog,Intact Male,1 year,Dachshund Mix,Brown/White,0
A839906,Chuy,09/07/2021 07:29:00 PM,09/07/2021 07:29:00 PM,01/29/2021,Dog,Neutered Male,7 months,Chihuahua Shorthair,Brown/White,0
A767161,Pinto,05/22/2018 02:04:00 PM,05/22/2018 02:04:00 PM,02/20/2018,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,White/Brown,0
A687691,,09/08/2014 06:51:00 PM,09/08/2014 06:51:00 PM,09/06/2014,Cat,Unknown,2 days,Domestic Shorthair Mix,Black,0
A761791,,11/13/2017 11:27:00 AM,11/13/2017 11:27:00 AM,11/09/2016,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie,0
A754673,Bunny,08/24/2017 05:34:00 PM,08/24/2017 05:34:00 PM,06/16/2017,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Blue/White,0
A691748,,11/12/2014 01:41:00 PM,11/12/2014 01:41:00 PM,09/01/2014,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White,0
A734670,Pumpernickle,09/11/2016 11:44:00 AM,09/11/2016 11:44:00 AM,09/10/2010,Dog,Neutered Male,6 years,Labrador Retriever Mix,Brown,0
A695496,Tramp,01/18/2015 06:44:00 PM,01/18/2015 06:44:00 PM,08/02/2014,Dog,Neutered Male,5 months,Cairn Terrier/Border Terrier,Blue,0
A669114,*Joe,12/18/2013 02:41:00 PM,12/18/2013 02:41:00 PM,09/14/2013,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby,0
A767514,Stockton,10/08/2018 06:51:00 PM,10/08/2018 06:51:00 PM,03/02/2016,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie,0
A836350,A836350,06/17/2021 10:08:00 AM,06/17/2021 10:08:00 AM,03/22/2021,Dog,Spayed Female,2 months,American Bulldog Mix,Blue/White,0
A825183,,11/02/2020 03:48:00 PM,11/02/2020 03:48:00 PM,10/29/2019,Cat,Spayed Female,1 year,Domestic Medium Hair,Black,0
A804245,,09/17/2019 06:18:00 PM,09/17/2019 06:18:00 PM,09/12/2018,Dog,Neutered Male,1 year,Smooth Fox Terrier,Black Brindle/White,0
A670771,*Chevy,01/19/2014 01:30:00 PM,01/19/2014 01:30:00 PM,01/13/2012,Dog,Neutered Male,2 years,Chihuahua Shorthair/Cardigan Welsh Corgi,Tricolor,0
A667177,Tigre,05/05/2015 06:22:00 PM,05/05/2015 06:22:00 PM,05/04/2010,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White,0
A814922,,03/12/2020 04:34:00 PM,03/12/2020 04:34:00 PM,03/08/2018,Cat,Unknown,2 years,Domestic Shorthair Mix,Black,0
A732337,Teensie,08/10/2016 11:51:00 AM,08/10/2016 11:51:00 AM,08/06/2004,Dog,Intact Female,12 years,Maltese Mix,White,0
A578345,Pity,01/15/2019 11:12:00 AM,01/15/2019 11:12:00 AM,07/02/2003,Dog,Spayed Female,15 years,Chihuahua Shorthair,Black/Tan,0
A811114,,01/02/2020 10:50:00 AM,01/02/2020 10:50:00 AM,12/28/2018,Cat,Intact Female,1 year,Domestic Shorthair,White/Black,0
A781968,,10/24/2018 06:10:00 PM,10/24/2018 06:10:00 PM,07/24/2018,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby,0
A677719,Coco,05/01/2014 01:01:00 PM,05/01/2014 01:01:00 PM,04/29/2001,Dog,Intact Male,13 years,Chihuahua Shorthair Mix,Black/Gray,0
A679960,*George,09/07/2014 12:55:00 PM,09/07/2014 12:55:00 PM,04/05/2014,Cat,Neutered Male,5 months,Domestic Shorthair Mix,Black,0
A784417,,11/19/2018 11:58:00 AM,11/19/2018 11:58:00 AM,11/15/2017,Cat,Unknown,1 year,Domestic Medium Hair Mix,Brown Tabby,0
A796264,*Manor,06/12/2019 01:32:00 PM,06/12/2019 01:32:00 PM,05/30/2017,Dog,Neutered Male,2 years,Staffordshire,Blue/White,0
A805381,,11/01/2019 06:00:00 PM,11/01/2019 06:00:00 PM,08/11/2019,Cat,Spayed Female,2 months,Domestic Shorthair,Brown Tabby/White,0
A707372,,07/12/2015 09:00:00 AM,07/12/2015 09:00:00 AM,07/11/2014,Cat,Intact Male,1 year,Domestic Shorthair Mix,Blue Tabby,0
A777787,*Peanut,08/17/2018 07:45:00 AM,08/17/2018 07:45:00 AM,08/03/2015,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown/White,1
A773502,,06/02/2018 04:58:00 PM,06/02/2018 04:58:00 PM,05/18/2018,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Brown Tabby,0
A813557,Rascal,02/18/2020 04:16:00 PM,02/18/2020 04:16:00 PM,11/28/2019,Dog,Neutered Male,2 months,Dachshund Mix,Red/White,0
